Name,URL,Rating,Reviews,Price,Type,Claimed
The Pink Door,https://www.yelp.com/biz/the-pink-door-seattle-4,4.4,(7.5k reviews),$$,Italian,Claimed
Biang Biang Noodles,https://www.yelp.com/biz/biang-biang-noodles-seattle-2,4.3,(1.5k reviews),$$,Noodles,Claimed
Nue,https://www.yelp.com/biz/nue-seattle,4.2,(1.5k reviews),$$,Tapas/Small Plates,Claimed
Toulouse Petit Kitchen & Lounge,https://www.yelp.com/biz/toulouse-petit-kitchen-and-lounge-seattle,4.0,(5.3k reviews),$$,Cajun/Creole,Claimed
Tilikum Place Cafe,https://www.yelp.com/biz/tilikum-place-cafe-seattle-3,4.3,(2.4k reviews),$$,New American,Claimed
Kedai Makan,https://www.yelp.com/biz/kedai-makan-seattle-4,4.1,(1.5k reviews),$$,Malaysian,Claimed
Elliott's Oyster House,https://www.yelp.com/biz/elliotts-oyster-house-seattle-2,3.9,(4.6k reviews),$$$,Seafood,Claimed
Biscuit Bitch,https://www.yelp.com/biz/biscuit-bitch-seattle,4.2,(5k reviews),$$,Breakfast & Brunch,Claimed
Shaker + Spear,https://www.yelp.com/biz/shaker-spear-seattle-2,4.4,(1.2k reviews),$$,Seafood,Claimed
Ishoni Yakiniku,https://www.yelp.com/biz/ishoni-yakiniku-seattle,4.5,(326 reviews),N/A,Barbeque,Claimed
Asadero Ballard,https://www.yelp.com/biz/asadero-ballard-seattle,4.4,(1.4k reviews),$$,Mexican,Claimed
Skalka,https://www.yelp.com/biz/skalka-seattle-4,4.5,(1.1k reviews),$$,Breakfast & Brunch,Claimed
Radiator Whiskey,https://www.yelp.com/biz/radiator-whiskey-seattle,4.4,(1.4k reviews),$$,New American,Claimed
2120,https://www.yelp.com/biz/2120-seattle,4.3,(695 reviews),$$$,New American,Claimed
Altura,https://www.yelp.com/biz/altura-seattle,4.4,(691 reviews),$$$$,Italian,Claimed
Six Seven Restaurant,https://www.yelp.com/biz/six-seven-restaurant-seattle-3,4.0,(1.3k reviews),$$$,New American,Claimed
Lola,https://www.yelp.com/biz/lola-seattle,4.1,(4.5k reviews),$$,Greek,Claimed
Di Fiora,https://www.yelp.com/biz/di-fiora-seattle,4.3,(713 reviews),$$,Asian Fusion,Claimed
Dough Zone - Seattle Downtown Pine St.,https://www.yelp.com/biz/dough-zone-seattle-downtown-pine-st-seattle-2,4.2,(1.4k reviews),$$,Chinese,Claimed
Fogon Cocina Mexicana,https://www.yelp.com/biz/fog%C3%B3n-cocina-mexicana-seattle-2,4.4,(2k reviews),$$,Mexican,Claimed
Duke's Seafood,https://www.yelp.com/biz/dukes-seafood-seattle-8,4.0,(1.4k reviews),$$,Seafood,Claimed
COMMUNION Restaurant and Bar,https://www.yelp.com/biz/communion-restaurant-and-bar-seattle,4.3,(479 reviews),$$$,Soul Food,Claimed
Skillet Capitol Hill,https://www.yelp.com/biz/skillet-capitol-hill-seattle-2,3.9,(2.5k reviews),$$,Breakfast & Brunch,Claimed
Le Coin,https://www.yelp.com/biz/le-coin-seattle,4.4,(586 reviews),$$$,Seafood,Claimed
re:public,https://www.yelp.com/biz/re-public-seattle-2,3.8,(690 reviews),$$,New American,Claimed
Purple Cafe and Wine Bar,https://www.yelp.com/biz/purple-caf%C3%A9-and-wine-bar-seattle-3,4.0,(3k reviews),$$$,New American,Claimed
List,https://www.yelp.com/biz/list-seattle,4.3,(2.1k reviews),$$,Tapas/Small Plates,Claimed
Meet the Moon,https://www.yelp.com/biz/meet-the-moon-seattle,4.0,(711 reviews),$$,Breakfast & Brunch,Claimed
The Walrus and the Carpenter,https://www.yelp.com/biz/the-walrus-and-the-carpenter-seattle,4.2,(2k reviews),$$$,Seafood,Claimed
Paseo,https://www.yelp.com/biz/paseo-seattle-11,4.4,(5.6k reviews),$$,Caribbean,Claimed
Damn the Weather,https://www.yelp.com/biz/damn-the-weather-seattle,3.8,(595 reviews),$$,Cocktail Bars,Claimed
Musang Seattle,https://www.yelp.com/biz/musang-seattle-seattle-2,4.4,(565 reviews),$$,Filipino,Claimed
Taylor Shellfish Oyster Bar,https://www.yelp.com/biz/taylor-shellfish-oyster-bar-seattle-2,4.3,(1k reviews),$$,Seafood,Claimed
Katsu-ya Seattle,https://www.yelp.com/biz/katsu-ya-seattle-seattle,4.4,(321 reviews),$$,Sushi Bars,Claimed
LOCAL Public Eatery,https://www.yelp.com/biz/local-public-eatery-seattle-4,3.9,(617 reviews),$$,Bars,Claimed
Cafe Turko,https://www.yelp.com/biz/cafe-turko-seattle-4,4.2,(1.4k reviews),$$,Halal,Claimed
Palisade,https://www.yelp.com/biz/palisade-seattle,3.9,(1.9k reviews),$$$,Seafood,Claimed
Cascina Spinasse,https://www.yelp.com/biz/cascina-spinasse-seattle,4.4,(1.5k reviews),$$$,Italian,Claimed
Olmstead,https://www.yelp.com/biz/olmstead-seattle,4.1,(296 reviews),$$,New American,Claimed
D' La Santa,https://www.yelp.com/biz/d-la-santa-seattle,4.6,(486 reviews),$$,Mexican,Claimed
Paju,https://www.yelp.com/biz/paju-seattle-2,4.5,(360 reviews),$$,Korean,Claimed
Serious Pie Downtown,https://www.yelp.com/biz/serious-pie-downtown-seattle-2,4.1,(4.8k reviews),$$,Pizza,Claimed
Tanoor,https://www.yelp.com/biz/tanoor-seattle-3,4.5,(318 reviews),$$,Lebanese,Claimed
Dead Line,https://www.yelp.com/biz/dead-line-seattle,4.3,(449 reviews),$$,Cocktail Bars,Claimed
Stone Korean Restaurant,https://www.yelp.com/biz/stone-korean-restaurant-seattle-2,4.2,(287 reviews),$$,Korean,Claimed
Rondo,https://www.yelp.com/biz/rondo-seattle-2,4.4,(656 reviews),$$,Sushi Bars,Claimed
Ramen Danbo,https://www.yelp.com/biz/ramen-danbo-seattle-2,4.3,(2.3k reviews),$$,Ramen,Claimed
Son of A Butcher,https://www.yelp.com/biz/son-of-a-butcher-seattle-3,3.7,(217 reviews),$$,Korean,Claimed
Taurus Ox,https://www.yelp.com/biz/taurus-ox-seattle,4.6,(526 reviews),$$,Laotian,Claimed
Daniel's Broiler,https://www.yelp.com/biz/daniels-broiler-seattle-7,3.6,(1k reviews),$$$$,Steakhouses,Claimed
A+ Hong Kong Kitchen,https://www.yelp.com/biz/a-hong-kong-kitchen-seattle,4.2,(737 reviews),Unclaimed,Cantonese,N/A
Sawyer,https://www.yelp.com/biz/sawyer-seattle-3,4.4,(481 reviews),N/A,New American,Claimed
Piroshky Piroshky,https://www.yelp.com/biz/piroshky-piroshky-seattle,4.3,(7.8k reviews),$,Bakeries,Claimed
Von's 1000 Spirits,https://www.yelp.com/biz/vons-1000-spirits-seattle-4,4.5,(3.5k reviews),$$,New American,Claimed
Kobuta And Ookami,https://www.yelp.com/biz/kobuta-and-ookami-seattle-2,4.3,(562 reviews),$$,Japanese,Claimed
Meet Korean BBQ,https://www.yelp.com/biz/meet-korean-bbq-seattle,4.3,(387 reviews),$$$$,Barbeque,Claimed
Kizuki Ramen & Izakaya,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-seattle-6,3.9,(1.6k reviews),$$,Ramen,Claimed
Salty's Waterfront Seafood Grills,https://www.yelp.com/biz/saltys-waterfront-seafood-grills-seattle,3.8,(2.5k reviews),$$$,Seafood,Claimed
Kokkaku,https://www.yelp.com/biz/kokkaku-seattle,4.2,(387 reviews),$$$,New American,Claimed
Due' Cucina Italiana - Capitol Hill,https://www.yelp.com/biz/due-cucina-italiana-capitol-hill-seattle,4.3,(855 reviews),$$,Italian,Claimed
S/T Hooligans,https://www.yelp.com/biz/s-t-hooligans-seattle,4.7,(484 reviews),$$,Cajun/Creole,Claimed
Witness,https://www.yelp.com/biz/witness-seattle,4.2,(911 reviews),$$,Southern,Claimed
Mojito,https://www.yelp.com/biz/mojito-seattle,4.5,(1.2k reviews),$$,Cuban,Claimed
The White Swan Public House,https://www.yelp.com/biz/the-white-swan-public-house-seattle-2,3.9,(453 reviews),$$,Bars,Claimed
Xi'an Noodles,https://www.yelp.com/biz/xian-noodles-seattle-9,4.2,(1.2k reviews),$$,Chinese,Claimed
Stateside,https://www.yelp.com/biz/stateside-seattle-3,4.2,(1k reviews),$$,Asian Fusion,Claimed
Marination Ma Kai,https://www.yelp.com/biz/marination-ma-kai-seattle,4.1,(1.3k reviews),$$,Korean,Claimed
Pomodoro,https://www.yelp.com/biz/pomodoro-seattle,4.4,(552 reviews),$$,Italian,Claimed
Copine,https://www.yelp.com/biz/copine-seattle,4.4,(256 reviews),$$$$,New American,Claimed
How To Cook a Wolf,https://www.yelp.com/biz/how-to-cook-a-wolf-seattle,4.0,(1.2k reviews),$$$,Italian,Claimed
The London Plane,https://www.yelp.com/biz/the-london-plane-seattle-4,3.9,(648 reviews),$$,Bars,Claimed
Crackle Mi Vietnamese Grill,https://www.yelp.com/biz/crackle-mi-vietnamese-grill-seattle,4.3,(215 reviews),$$,Vietnamese,Claimed
Parish Northwest,https://www.yelp.com/biz/parish-northwest-seattle,3.8,(166 reviews),$$$,Southern,Claimed
MariPili Tapas Bar,https://www.yelp.com/biz/maripili-tapas-bar-seattle-3,4.2,(126 reviews),N/A,Spanish,Claimed
Bar Harbor,https://www.yelp.com/biz/bar-harbor-seattle,4.1,(315 reviews),$$,Seafood,Claimed
Haidilao Hot Pot - Seattle,https://www.yelp.com/biz/haidilao-hot-pot-seattle-seattle,4.4,(796 reviews),$$$,Hot Pot,Claimed
Lionhead,https://www.yelp.com/biz/lionhead-seattle-2,4.0,(359 reviews),$$,Szechuan,Claimed
Kin Len Thai Night Bites,https://www.yelp.com/biz/kin-len-thai-night-bites-seattle-2,4.3,(871 reviews),$$,Thai,Claimed
Some Random Bar,https://www.yelp.com/biz/some-random-bar-seattle,4.5,(1.2k reviews),$$,New American,Claimed
Pink Salt Restaurant,https://www.yelp.com/biz/pink-salt-restaurant-seattle-2,4.3,(170 reviews),$$$,Peruvian,Claimed
Joule,https://www.yelp.com/biz/joule-seattle,4.0,(1.1k reviews),$$$,Korean,Claimed
Cactus Restaurants,https://www.yelp.com/biz/cactus-restaurants-seattle-3,4.1,(1.1k reviews),$$,Tex-Mex,Claimed
The Chicken Supply,https://www.yelp.com/biz/the-chicken-supply-seattle,4.6,(136 reviews),N/A,Chicken Shop,Claimed
19 GOLD,https://www.yelp.com/biz/19-gold-seattle,4.5,(1.1k reviews),$$,Taiwanese,Claimed
Zig Zag Cafe,https://www.yelp.com/biz/zig-zag-cafe-seattle-2,4.3,(1.2k reviews),$$$,New American,Claimed
84 Yesler,https://www.yelp.com/biz/84-yesler-seattle,4.6,(156 reviews),$$$,Italian,Claimed
Rocco's,https://www.yelp.com/biz/roccos-seattle,4.2,(1.9k reviews),$$,Bars,Claimed
Cafe Hagen,https://www.yelp.com/biz/caf%C3%A9-hagen-seattle,4.3,(516 reviews),Unclaimed,Scandinavian,N/A
Homer,https://www.yelp.com/biz/homer-seattle,4.4,(390 reviews),N/A,Mediterranean,Claimed
Tavolata - Capitol Hill,https://www.yelp.com/biz/tavol%C3%A0ta-capitol-hill-seattle-3,4.0,(506 reviews),$$,Italian,Claimed
Almanqal Mediterranean Grill,https://www.yelp.com/biz/almanqal-mediterranean-grill-seattle,4.5,(205 reviews),N/A,Mediterranean,Claimed
Hannyatou,https://www.yelp.com/biz/hannyatou-seattle-2,4.7,(75 reviews),N/A,Japanese,Claimed
Karachi Cowboys,https://www.yelp.com/biz/karachi-cowboys-seattle,4.1,(60 reviews),$$,Pakistani,Claimed
Niku Niku Japanese Barbecue,https://www.yelp.com/biz/niku-niku-japanese-barbecue-seattle,4.4,(378 reviews),$$$,Barbeque,Claimed
Sugo Hand Roll Bar,https://www.yelp.com/biz/sugo-hand-roll-bar-seattle-2,4.3,(853 reviews),N/A,Sushi Bars,Claimed
Mike's Noodle House,https://www.yelp.com/biz/mikes-noodle-house-seattle,4.0,(1.5k reviews),$$,Cantonese,Claimed
Gold Bar,https://www.yelp.com/biz/gold-bar-seattle-3,4.1,(104 reviews),$$,Latin American,Claimed
Call A Chicken,https://www.yelp.com/biz/call-a-chicken-seattle-2,2.7,(65 reviews),N/A,Chicken Shop,Claimed
Harbor City Restaurant,https://www.yelp.com/biz/harbor-city-restaurant-seattle,3.8,(2.2k reviews),$$,Barbeque,Claimed
Windy City Pie,https://www.yelp.com/biz/windy-city-pie-seattle,4.2,(644 reviews),$$,Pizza,Claimed
